Temperature - (Celsius), Year, Statistics, Country, ISO3
12.6442, 1996, Sep Average, United Kingdom, GBR
10.4123, 1996, Oct Average, United Kingdom, GBR
4.89561, 1996, Nov Average, United Kingdom, GBR
2.60909, 1996, Dec Average, United Kingdom, GBR
2.24391, 1997, Jan Average, United Kingdom, GBR
5.3151, 1997, Feb Average, United Kingdom, GBR
7.04112, 1997, Mar Average, United Kingdom, GBR
8.01104, 1997, Apr Average, United Kingdom, GBR
10.2858, 1997, May Average, United Kingdom, GBR
12.7063, 1997, Jun Average, United Kingdom, GBR
15.2231, 1997, Jul Average, United Kingdom, GBR
17.0145, 1997, Aug Average, United Kingdom, GBR
12.7551, 1997, Sep Average, United Kingdom, GBR
9.44047, 1997, Oct Average, United Kingdom, GBR
7.70567, 1997, Nov Average, United Kingdom, GBR
5.17587, 1997, Dec Average, United Kingdom, GBR
4.38876, 1998, Jan Average, United Kingdom, GBR
6.46675, 1998, Feb Average, United Kingdom, GBR
6.71556, 1998, Mar Average, United Kingdom, GBR
6.69317, 1998, Apr Average, United Kingdom, GBR
11.4947, 1998, May Average, United Kingdom, GBR
12.669, 1998, Jun Average, United Kingdom, GBR
14.1014, 1998, Jul Average, United Kingdom, GBR
14.5019, 1998, Aug Average, United Kingdom, GBR
13.3609, 1998, Sep Average, United Kingdom, GBR
9.15383, 1998, Oct Average, United Kingdom, GBR
5.38032, 1998, Nov Average, United Kingdom, GBR
4.82865, 1998, Dec Average, United Kingdom, GBR
4.35692, 1999, Jan Average, United Kingdom, GBR
4.13069, 1999, Feb Average, United Kingdom, GBR
6.08194, 1999, Mar Average, United Kingdom, GBR
8.2227, 1999, Apr Average, United Kingdom, GBR
11.4004, 1999, May Average, United Kingdom, GBR
12.4802, 1999, Jun Average, United Kingdom, GBR
15.7976, 1999, Jul Average, United Kingdom, GBR
14.7911, 1999, Aug Average, United Kingdom, GBR
14.1742, 1999, Sep Average, United Kingdom, GBR
9.83646, 1999, Oct Average, United Kingdom, GBR
6.75741, 1999, Nov Average, United Kingdom, GBR
3.72164, 1999, Dec Average, United Kingdom, GBR
4.15902, 2000, Jan Average, United Kingdom, GBR
4.97283, 2000, Feb Average, United Kingdom, GBR
6.2941, 2000, Mar Average, United Kingdom, GBR
6.69372, 2000, Apr Average, United Kingdom, GBR
10.8776, 2000, May Average, United Kingdom, GBR
12.9877, 2000, Jun Average, United Kingdom, GBR
14.1954, 2000, Jul Average, United Kingdom, GBR
15.1351, 2000, Aug Average, United Kingdom, GBR
13.3519, 2000, Sep Average, United Kingdom, GBR
9.25351, 2000, Oct Average, United Kingdom, GBR
5.90342, 2000, Nov Average, United Kingdom, GBR
4.60402, 2000, Dec Average, United Kingdom, GBR
2.93027, 2001, Jan Average, United Kingdom, GBR
3.3585, 2001, Feb Average, United Kingdom, GBR
4.18287, 2001, Mar Average, United Kingdom, GBR
6.61832, 2001, Apr Average, United Kingdom, GBR
11.324, 2001, May Average, United Kingdom, GBR
12.5911, 2001, Jun Average, United Kingdom, GBR
15.1025, 2001, Jul Average, United Kingdom, GBR
15.0672, 2001, Aug Average, United Kingdom, GBR
12.2723, 2001, Sep Average, United Kingdom, GBR
12.0535, 2001, Oct Average, United Kingdom, GBR
6.84253, 2001, Nov Average, United Kingdom, GBR
3.38289, 2001, Dec Average, United Kingdom, GBR
5.13177, 2002, Jan Average, United Kingdom, GBR
5.45311, 2002, Feb Average, United Kingdom, GBR
6.31256, 2002, Mar Average, United Kingdom, GBR
8.07023, 2002, Apr Average, United Kingdom, GBR
10.7513, 2002, May Average, United Kingdom, GBR
13.2396, 2002, Jun Average, United Kingdom, GBR
14.3037, 2002, Jul Average, United Kingdom, GBR
15.3853, 2002, Aug Average, United Kingdom, GBR
13.0868, 2002, Sep Average, United Kingdom, GBR
8.80757, 2002, Oct Average, United Kingdom, GBR
7.5575, 2002, Nov Average, United Kingdom, GBR
4.75593, 2002, Dec Average, United Kingdom, GBR
3.70688, 2003, Jan Average, United Kingdom, GBR
3.50981, 2003, Feb Average, United Kingdom, GBR
6.57094, 2003, Mar Average, United Kingdom, GBR
8.78211, 2003, Apr Average, United Kingdom, GBR
10.674, 2003, May Average, United Kingdom, GBR
14.4372, 2003, Jun Average, United Kingdom, GBR
16.1232, 2003, Jul Average, United Kingdom, GBR
16.2945, 2003, Aug Average, United Kingdom, GBR
13.0244, 2003, Sep Average, United Kingdom, GBR
8.28691, 2003, Oct Average, United Kingdom, GBR
7.32658, 2003, Nov Average, United Kingdom, GBR
4.37613, 2003, Dec Average, United Kingdom, GBR
4.31311, 2004, Jan Average, United Kingdom, GBR
4.19503, 2004, Feb Average, United Kingdom, GBR
5.61218, 2004, Mar Average, United Kingdom, GBR
8.37981, 2004, Apr Average, United Kingdom, GBR
10.8457, 2004, May Average, United Kingdom, GBR
13.9189, 2004, Jun Average, United Kingdom, GBR
14.3913, 2004, Jul Average, United Kingdom, GBR
15.9539, 2004, Aug Average, United Kingdom, GBR
13.4114, 2004, Sep Average, United Kingdom, GBR
9.31817, 2004, Oct Average, United Kingdom, GBR
7.02291, 2004, Nov Average, United Kingdom, GBR
4.95983, 2004, Dec Average, United Kingdom, GBR
5.23575, 2005, Jan Average, United Kingdom, GBR
3.4959, 2005, Feb Average, United Kingdom, GBR
6.25051, 2005, Mar Average, United Kingdom, GBR
7.84063, 2005, Apr Average, United Kingdom, GBR
9.94491, 2005, May Average, United Kingdom, GBR
14.0237, 2005, Jun Average, United Kingdom, GBR
15.1928, 2005, Jul Average, United Kingdom, GBR
14.7426, 2005, Aug Average, United Kingdom, GBR
13.6108, 2005, Sep Average, United Kingdom, GBR
11.4056, 2005, Oct Average, United Kingdom, GBR
5.74782, 2005, Nov Average, United Kingdom, GBR
4.40564, 2005, Dec Average, United Kingdom, GBR
3.85327, 2006, Jan Average, United Kingdom, GBR
3.52834, 2006, Feb Average, United Kingdom, GBR
3.96115, 2006, Mar Average, United Kingdom, GBR
7.26327, 2006, Apr Average, United Kingdom, GBR
10.5608, 2006, May Average, United Kingdom, GBR
14.2789, 2006, Jun Average, United Kingdom, GBR
17.0701, 2006, Jul Average, United Kingdom, GBR
14.9434, 2006, Aug Average, United Kingdom, GBR
14.7864, 2006, Sep Average, United Kingdom, GBR
11.6435, 2006, Oct Average, United Kingdom, GBR
7.23144, 2006, Nov Average, United Kingdom, GBR
5.46008, 2006, Dec Average, United Kingdom, GBR
5.69004, 2007, Jan Average, United Kingdom, GBR
5.12735, 2007, Feb Average, United Kingdom, GBR
6.16921, 2007, Mar Average, United Kingdom, GBR
9.80495, 2007, Apr Average, United Kingdom, GBR
10.7141, 2007, May Average, United Kingdom, GBR
13.6998, 2007, Jun Average, United Kingdom, GBR
14.3549, 2007, Jul Average, United Kingdom, GBR
14.3988, 2007, Aug Average, United Kingdom, GBR
12.5801, 2007, Sep Average, United Kingdom, GBR
10.3371, 2007, Oct Average, United Kingdom, GBR
6.95563, 2007, Nov Average, United Kingdom, GBR
4.55331, 2007, Dec Average, United Kingdom, GBR
5.09487, 2008, Jan Average, United Kingdom, GBR
4.89683, 2008, Feb Average, United Kingdom, GBR
5.11428, 2008, Mar Average, United Kingdom, GBR
7.09645, 2008, Apr Average, United Kingdom, GBR
12.1099, 2008, May Average, United Kingdom, GBR
13.056, 2008, Jun Average, United Kingdom, GBR
15.2831, 2008, Jul Average, United Kingdom, GBR
15.1609, 2008, Aug Average, United Kingdom, GBR
12.3981, 2008, Sep Average, United Kingdom, GBR
8.70288, 2008, Oct Average, United Kingdom, GBR
6.22825, 2008, Nov Average, United Kingdom, GBR
3.33882, 2008, Dec Average, United Kingdom, GBR
2.88964, 2009, Jan Average, United Kingdom, GBR
3.61467, 2009, Feb Average, United Kingdom, GBR
5.92708, 2009, Mar Average, United Kingdom, GBR
8.62608, 2009, Apr Average, United Kingdom, GBR
10.855, 2009, May Average, United Kingdom, GBR
13.747, 2009, Jun Average, United Kingdom, GBR
15.3132, 2009, Jul Average, United Kingdom, GBR
15.337, 2009, Aug Average, United Kingdom, GBR
13.0118, 2009, Sep Average, United Kingdom, GBR
10.4504, 2009, Oct Average, United Kingdom, GBR
7.28735, 2009, Nov Average, United Kingdom, GBR
2.73256, 2009, Dec Average, United Kingdom, GBR
1.14695, 2010, Jan Average, United Kingdom, GBR
1.8491, 2010, Feb Average, United Kingdom, GBR
5.02975, 2010, Mar Average, United Kingdom, GBR
7.76801, 2010, Apr Average, United Kingdom, GBR
9.70183, 2010, May Average, United Kingdom, GBR
14.0881, 2010, Jun Average, United Kingdom, GBR
15.5468, 2010, Jul Average, United Kingdom, GBR
14.2832, 2010, Aug Average, United Kingdom, GBR
12.8384, 2010, Sep Average, United Kingdom, GBR
9.57028, 2010, Oct Average, United Kingdom, GBR
4.52795, 2010, Nov Average, United Kingdom, GBR
0.10307, 2010, Dec Average, United Kingdom, GBR
3.03013, 2011, Jan Average, United Kingdom, GBR
5.10872, 2011, Feb Average, United Kingdom, GBR
5.64819, 2011, Mar Average, United Kingdom, GBR
9.72979, 2011, Apr Average, United Kingdom, GBR
11.1078, 2011, May Average, United Kingdom, GBR
12.6921, 2011, Jun Average, United Kingdom, GBR
14.0366, 2011, Jul Average, United Kingdom, GBR
14.0481, 2011, Aug Average, United Kingdom, GBR
13.5895, 2011, Sep Average, United Kingdom, GBR
10.9368, 2011, Oct Average, United Kingdom, GBR
8.49413, 2011, Nov Average, United Kingdom, GBR
4.83359, 2011, Dec Average, United Kingdom, GBR
4.58166, 2012, Jan Average, United Kingdom, GBR
4.24919, 2012, Feb Average, United Kingdom, GBR
7.55459, 2012, Mar Average, United Kingdom, GBR
6.39969, 2012, Apr Average, United Kingdom, GBR
10.3792, 2012, May Average, United Kingdom, GBR
12.3407, 2012, Jun Average, United Kingdom, GBR
13.9926, 2012, Jul Average, United Kingdom, GBR
15.3931, 2012, Aug Average, United Kingdom, GBR
12.0325, 2012, Sep Average, United Kingdom, GBR
8.42695, 2012, Oct Average, United Kingdom, GBR
5.75419, 2012, Nov Average, United Kingdom, GBR
4.09456, 2012, Dec Average, United Kingdom, GBR
3.51217, 2013, Jan Average, United Kingdom, GBR
2.95438, 2013, Feb Average, United Kingdom, GBR
2.95724, 2013, Mar Average, United Kingdom, GBR
7.24076, 2013, Apr Average, United Kingdom, GBR
9.61797, 2013, May Average, United Kingdom, GBR
13.1, 2013, Jun Average, United Kingdom, GBR
16.4975, 2013, Jul Average, United Kingdom, GBR
15.3554, 2013, Aug Average, United Kingdom, GBR
12.9354, 2013, Sep Average, United Kingdom, GBR
10.9979, 2013, Oct Average, United Kingdom, GBR
6.0325, 2013, Nov Average, United Kingdom, GBR
5.44848, 2013, Dec Average, United Kingdom, GBR
4.68923, 2014, Jan Average, United Kingdom, GBR
4.98579, 2014, Feb Average, United Kingdom, GBR
6.52346, 2014, Mar Average, United Kingdom, GBR
9.10902, 2014, Apr Average, United Kingdom, GBR
11.1199, 2014, May Average, United Kingdom, GBR
14.1693, 2014, Jun Average, United Kingdom, GBR
16.3148, 2014, Jul Average, United Kingdom, GBR
14.1145, 2014, Aug Average, United Kingdom, GBR
13.7925, 2014, Sep Average, United Kingdom, GBR
10.926, 2014, Oct Average, United Kingdom, GBR
7.58445, 2014, Nov Average, United Kingdom, GBR
4.38727, 2014, Dec Average, United Kingdom, GBR
3.87941, 2015, Jan Average, United Kingdom, GBR
3.48429, 2015, Feb Average, United Kingdom, GBR
5.33947, 2015, Mar Average, United Kingdom, GBR
7.63968, 2015, Apr Average, United Kingdom, GBR
9.62099, 2015, May Average, United Kingdom, GBR
12.7128, 2015, Jun Average, United Kingdom, GBR
14.5338, 2015, Jul Average, United Kingdom, GBR
14.8757, 2015, Aug Average, United Kingdom, GBR
11.9219, 2015, Sep Average, United Kingdom, GBR
9.93445, 2015, Oct Average, United Kingdom, GBR
8.04995, 2015, Nov Average, United Kingdom, GBR
7.05677, 2015, Dec Average, United Kingdom, GBR
4.56022, 2016, Jan Average, United Kingdom, GBR
3.6933, 2016, Feb Average, United Kingdom, GBR
5.31805, 2016, Mar Average, United Kingdom, GBR
6.47751, 2016, Apr Average, United Kingdom, GBR
11.1735, 2016, May Average, United Kingdom, GBR
13.7769, 2016, Jun Average, United Kingdom, GBR
15.2225, 2016, Jul Average, United Kingdom, GBR
15.489, 2016, Aug Average, United Kingdom, GBR
14.2432, 2016, Sep Average, United Kingdom, GBR
9.77347, 2016, Oct Average, United Kingdom, GBR
5.32233, 2016, Nov Average, United Kingdom, GBR
5.8032, 2016, Dec Average, United Kingdom, GBR
