Temperature, Year, Month
10.2235, 2000, Mar Average
10.5107, 2000, Apr Average
16.1069, 2000, May Average
20.5909, 2000, Jun Average
21.9925, 2000, Jul Average
22.5909, 2000, Aug Average
19.566, 2000, Sep Average
13.7694, 2000, Oct Average
8.95628, 2000, Nov Average
8.09397, 2000, Dec Average
7.27061, 2001, Jan Average
7.74297, 2001, Feb Average
11.2655, 2001, Mar Average
11.9549, 2001, Apr Average
15.41, 2001, May Average
20.787, 2001, Jun Average
22.1715, 2001, Jul Average
23.1579, 2001, Aug Average
18.7615, 2001, Sep Average
15.8616, 2001, Oct Average
7.89411, 2001, Nov Average
4.4322, 2001, Dec Average
6.86332, 2002, Jan Average
8.16887, 2002, Feb Average
10.1889, 2002, Mar Average
11.7937, 2002, Apr Average
14.3068, 2002, May Average
20.0219, 2002, Jun Average
22.0796, 2002, Jul Average
21.4205, 2002, Aug Average
18.5738, 2002, Sep Average
14.763, 2002, Oct Average
10.1006, 2002, Nov Average
8.42864, 2002, Dec Average
5.82612, 2003, Jan Average
6.12793, 2003, Feb Average
10.5049, 2003, Mar Average
11.9715, 2003, Apr Average
16.1591, 2003, May Average
22.0474, 2003, Jun Average
23.5247, 2003, Jul Average
24.5143, 2003, Aug Average
20.056, 2003, Sep Average
13.7112, 2003, Oct Average
10.1481, 2003, Nov Average
6.77003, 2003, Dec Average
7.33214, 2004, Jan Average
6.96636, 2004, Feb Average
8.50519, 2004, Mar Average
10.9754, 2004, Apr Average
14.2752, 2004, May Average
21.4769, 2004, Jun Average
23.1244, 2004, Jul Average
22.9163, 2004, Aug Average
20.1588, 2004, Sep Average
15.1476, 2004, Oct Average
8.46375, 2004, Nov Average
6.40726, 2004, Dec Average
4.89084, 2005, Jan Average
4.59118, 2005, Feb Average
9.05311, 2005, Mar Average
12.0033, 2005, Apr Average
16.4821, 2005, May Average
21.8067, 2005, Jun Average
23.5197, 2005, Jul Average
22.8505, 2005, Aug Average
19.0937, 2005, Sep Average
15.2046, 2005, Oct Average
8.58128, 2005, Nov Average
5.63483, 2005, Dec Average
4.99605, 2006, Jan Average
5.80599, 2006, Feb Average
10.0954, 2006, Mar Average
12.7804, 2006, Apr Average
16.809, 2006, May Average
20.5719, 2006, Jun Average
24.6145, 2006, Jul Average
22.3724, 2006, Aug Average
20.2672, 2006, Sep Average
16.1645, 2006, Oct Average
11.5784, 2006, Nov Average
6.50893, 2006, Dec Average
6.39702, 2007, Jan Average
8.77988, 2007, Feb Average
9.34927, 2007, Mar Average
12.1283, 2007, Apr Average
15.5508, 2007, May Average
19.0524, 2007, Jun Average
22.328, 2007, Jul Average
21.9836, 2007, Aug Average
19.1968, 2007, Sep Average
14.3114, 2007, Oct Average
8.78968, 2007, Nov Average
6.20239, 2007, Dec Average
7.45476, 2008, Jan Average
8.77457, 2008, Feb Average
9.54534, 2008, Mar Average
12.2321, 2008, Apr Average
14.5814, 2008, May Average
19.6046, 2008, Jun Average
22.54, 2008, Jul Average
22.792, 2008, Aug Average
18.6126, 2008, Sep Average
13.8026, 2008, Oct Average
8.01934, 2008, Nov Average
5.62297, 2008, Dec Average
5.387, 2009, Jan Average
6.7889, 2009, Feb Average
10.1256, 2009, Mar Average
10.9928, 2009, Apr Average
16.5016, 2009, May Average
20.8331, 2009, Jun Average
23.1835, 2009, Jul Average
24.0078, 2009, Aug Average
19.9151, 2009, Sep Average
16.114, 2009, Oct Average
11.1712, 2009, Nov Average
6.63688, 2009, Dec Average
5.47328, 2010, Jan Average
6.31419, 2010, Feb Average
8.4576, 2010, Mar Average
12.4541, 2010, Apr Average
14.7265, 2010, May Average
19.3189, 2010, Jun Average
24.206, 2010, Jul Average
23.6326, 2010, Aug Average
19.5737, 2010, Sep Average
13.9401, 2010, Oct Average
8.9061, 2010, Nov Average
5.86834, 2010, Dec Average
6.04457, 2011, Jan Average
7.29801, 2011, Feb Average
9.09622, 2011, Mar Average
13.6407, 2011, Apr Average
16.7677, 2011, May Average
19.8108, 2011, Jun Average
22.3172, 2011, Jul Average
23.3899, 2011, Aug Average
20.6462, 2011, Sep Average
15.9034, 2011, Oct Average
10.6646, 2011, Nov Average
6.9515, 2011, Dec Average
6.01945, 2012, Jan Average
4.90406, 2012, Feb Average
9.99369, 2012, Mar Average
10.5812, 2012, Apr Average
16.5249, 2012, May Average
20.9634, 2012, Jun Average
22.7572, 2012, Jul Average
23.8738, 2012, Aug Average
19.7314, 2012, Sep Average
14.7435, 2012, Oct Average
9.74634, 2012, Nov Average
7.13371, 2012, Dec Average
6.68511, 2013, Jan Average
6.30821, 2013, Feb Average
9.2779, 2013, Mar Average
11.1565, 2013, Apr Average
13.5533, 2013, May Average
18.7152, 2013, Jun Average
23.9226, 2013, Jul Average
23.316, 2013, Aug Average
20.2531, 2013, Sep Average
16.134, 2013, Oct Average
9.19735, 2013, Nov Average
6.25957, 2013, Dec Average
7.54797, 2014, Jan Average
7.50248, 2014, Feb Average
9.9303, 2014, Mar Average
13.4562, 2014, Apr Average
15.6182, 2014, May Average
20.0436, 2014, Jun Average
22.2682, 2014, Jul Average
22.7247, 2014, Aug Average
20.7094, 2014, Sep Average
16.884, 2014, Oct Average
11.0028, 2014, Nov Average
6.53087, 2014, Dec Average
5.93938, 2015, Jan Average
6.33092, 2015, Feb Average
9.62363, 2015, Mar Average
12.6642, 2015, Apr Average
16.791, 2015, May Average
20.9877, 2015, Jun Average
24.573, 2015, Jul Average
23.2454, 2015, Aug Average
18.8963, 2015, Sep Average
14.7707, 2015, Oct Average
11.0535, 2015, Nov Average
8.40753, 2015, Dec Average
7.93758, 2016, Jan Average
7.97624, 2016, Feb Average
8.73532, 2016, Mar Average
11.2886, 2016, Apr Average
14.9551, 2016, May Average
20.1408, 2016, Jun Average
23.4815, 2016, Jul Average
23.6965, 2016, Aug Average
20.6296, 2016, Sep Average
15.5534, 2016, Oct Average
9.63252, 2016, Nov Average
7.37377, 2016, Dec Average
