Rainfall - (MM), Year, Statistics, Country, ISO3
87.6045, 1996, May Average, Germany, DEU
53.935, 1996, Jun Average, Germany, DEU
78.9075, 1996, Jul Average, Germany, DEU
79.6236, 1996, Aug Average, Germany, DEU
42.9061, 1996, Sep Average, Germany, DEU
67.5361, 1996, Oct Average, Germany, DEU
72.6197, 1996, Nov Average, Germany, DEU
35.0825, 1996, Dec Average, Germany, DEU
9.83863, 1997, Jan Average, Germany, DEU
67.2551, 1997, Feb Average, Germany, DEU
42.5627, 1997, Mar Average, Germany, DEU
41.6681, 1997, Apr Average, Germany, DEU
61.2739, 1997, May Average, Germany, DEU
88.4656, 1997, Jun Average, Germany, DEU
101.767, 1997, Jul Average, Germany, DEU
46.8022, 1997, Aug Average, Germany, DEU
27.5655, 1997, Sep Average, Germany, DEU
55.608, 1997, Oct Average, Germany, DEU
37.1339, 1997, Nov Average, Germany, DEU
67.5498, 1997, Dec Average, Germany, DEU
52.529, 1998, Jan Average, Germany, DEU
20.361, 1998, Feb Average, Germany, DEU
57.4466, 1998, Mar Average, Germany, DEU
69.7002, 1998, Apr Average, Germany, DEU
41.119, 1998, May Average, Germany, DEU
92.2634, 1998, Jun Average, Germany, DEU
76.4229, 1998, Jul Average, Germany, DEU
59.4273, 1998, Aug Average, Germany, DEU
93.0054, 1998, Sep Average, Germany, DEU
129.533, 1998, Oct Average, Germany, DEU
59.7093, 1998, Nov Average, Germany, DEU
43.5843, 1998, Dec Average, Germany, DEU
54.7633, 1999, Jan Average, Germany, DEU
62.5976, 1999, Feb Average, Germany, DEU
57.2256, 1999, Mar Average, Germany, DEU
54.9206, 1999, Apr Average, Germany, DEU
72.0056, 1999, May Average, Germany, DEU
77.6496, 1999, Jun Average, Germany, DEU
69.3364, 1999, Jul Average, Germany, DEU
69.5162, 1999, Aug Average, Germany, DEU
49.8643, 1999, Sep Average, Germany, DEU
40.1869, 1999, Oct Average, Germany, DEU
47.3596, 1999, Nov Average, Germany, DEU
100.386, 1999, Dec Average, Germany, DEU
44.9574, 2000, Jan Average, Germany, DEU
67.3227, 2000, Feb Average, Germany, DEU
80.7758, 2000, Mar Average, Germany, DEU
37.3616, 2000, Apr Average, Germany, DEU
65.0995, 2000, May Average, Germany, DEU
52.9155, 2000, Jun Average, Germany, DEU
101.303, 2000, Jul Average, Germany, DEU
69.5844, 2000, Aug Average, Germany, DEU
73.3026, 2000, Sep Average, Germany, DEU
56.4665, 2000, Oct Average, Germany, DEU
52.8528, 2000, Nov Average, Germany, DEU
42.6966, 2000, Dec Average, Germany, DEU
51.2213, 2001, Jan Average, Germany, DEU
46.7589, 2001, Feb Average, Germany, DEU
90.2431, 2001, Mar Average, Germany, DEU
68.416, 2001, Apr Average, Germany, DEU
41.3147, 2001, May Average, Germany, DEU
83.0616, 2001, Jun Average, Germany, DEU
72.6041, 2001, Jul Average, Germany, DEU
66.5531, 2001, Aug Average, Germany, DEU
111.335, 2001, Sep Average, Germany, DEU
43.3268, 2001, Oct Average, Germany, DEU
68.1727, 2001, Nov Average, Germany, DEU
59.4984, 2001, Dec Average, Germany, DEU
38.2963, 2002, Jan Average, Germany, DEU
84.9783, 2002, Feb Average, Germany, DEU
55.5768, 2002, Mar Average, Germany, DEU
46.2707, 2002, Apr Average, Germany, DEU
75.752, 2002, May Average, Germany, DEU
75.4142, 2002, Jun Average, Germany, DEU
104.37, 2002, Jul Average, Germany, DEU
106.96, 2002, Aug Average, Germany, DEU
54.8743, 2002, Sep Average, Germany, DEU
92.2096, 2002, Oct Average, Germany, DEU
97.6978, 2002, Nov Average, Germany, DEU
56.1727, 2002, Dec Average, Germany, DEU
64.0563, 2003, Jan Average, Germany, DEU
15.4231, 2003, Feb Average, Germany, DEU
23.0208, 2003, Mar Average, Germany, DEU
36.8182, 2003, Apr Average, Germany, DEU
62.5991, 2003, May Average, Germany, DEU
60.7594, 2003, Jun Average, Germany, DEU
65.0491, 2003, Jul Average, Germany, DEU
32.2744, 2003, Aug Average, Germany, DEU
43.7515, 2003, Sep Average, Germany, DEU
68.8234, 2003, Oct Average, Germany, DEU
38.2701, 2003, Nov Average, Germany, DEU
48.5474, 2003, Dec Average, Germany, DEU
86.593, 2004, Jan Average, Germany, DEU
42.833, 2004, Feb Average, Germany, DEU
34.1212, 2004, Mar Average, Germany, DEU
35.6501, 2004, Apr Average, Germany, DEU
62.855, 2004, May Average, Germany, DEU
71.9528, 2004, Jun Average, Germany, DEU
96.6789, 2004, Jul Average, Germany, DEU
79.6242, 2004, Aug Average, Germany, DEU
52.2973, 2004, Sep Average, Germany, DEU
54.6029, 2004, Oct Average, Germany, DEU
59.6649, 2004, Nov Average, Germany, DEU
38.9934, 2004, Dec Average, Germany, DEU
54.6657, 2005, Jan Average, Germany, DEU
49.8442, 2005, Feb Average, Germany, DEU
38.2742, 2005, Mar Average, Germany, DEU
49.2895, 2005, Apr Average, Germany, DEU
72.2331, 2005, May Average, Germany, DEU
53.854, 2005, Jun Average, Germany, DEU
111.808, 2005, Jul Average, Germany, DEU
82.9107, 2005, Aug Average, Germany, DEU
48.8695, 2005, Sep Average, Germany, DEU
40.0179, 2005, Oct Average, Germany, DEU
41.1234, 2005, Nov Average, Germany, DEU
55.1533, 2005, Dec Average, Germany, DEU
22.8565, 2006, Jan Average, Germany, DEU
40.6106, 2006, Feb Average, Germany, DEU
68.082, 2006, Mar Average, Germany, DEU
60.3178, 2006, Apr Average, Germany, DEU
81.9657, 2006, May Average, Germany, DEU
47.7933, 2006, Jun Average, Germany, DEU
51.8021, 2006, Jul Average, Germany, DEU
124.115, 2006, Aug Average, Germany, DEU
33.4558, 2006, Sep Average, Germany, DEU
57.9477, 2006, Oct Average, Germany, DEU
50.2556, 2006, Nov Average, Germany, DEU
44.8841, 2006, Dec Average, Germany, DEU
81.163, 2007, Jan Average, Germany, DEU
61.651, 2007, Feb Average, Germany, DEU
59.2134, 2007, Mar Average, Germany, DEU
6.44707, 2007, Apr Average, Germany, DEU
114.78, 2007, May Average, Germany, DEU
106.996, 2007, Jun Average, Germany, DEU
116.5, 2007, Jul Average, Germany, DEU
91.67, 2007, Aug Average, Germany, DEU
82.9222, 2007, Sep Average, Germany, DEU
24.1411, 2007, Oct Average, Germany, DEU
71.2628, 2007, Nov Average, Germany, DEU
53.6526, 2007, Dec Average, Germany, DEU
63.6949, 2008, Jan Average, Germany, DEU
34.162, 2008, Feb Average, Germany, DEU
72.6319, 2008, Mar Average, Germany, DEU
73.528, 2008, Apr Average, Germany, DEU
32.9508, 2008, May Average, Germany, DEU
59.3751, 2008, Jun Average, Germany, DEU
83.3772, 2008, Jul Average, Germany, DEU
80.395, 2008, Aug Average, Germany, DEU
54.735, 2008, Sep Average, Germany, DEU
73.0005, 2008, Oct Average, Germany, DEU
40.62, 2008, Nov Average, Germany, DEU
41.8894, 2008, Dec Average, Germany, DEU
29.1744, 2009, Jan Average, Germany, DEU
50.9492, 2009, Feb Average, Germany, DEU
66.2248, 2009, Mar Average, Germany, DEU
26.9841, 2009, Apr Average, Germany, DEU
74.5335, 2009, May Average, Germany, DEU
81.9461, 2009, Jun Average, Germany, DEU
100.244, 2009, Jul Average, Germany, DEU
40.8288, 2009, Aug Average, Germany, DEU
38.5619, 2009, Sep Average, Germany, DEU
68.0497, 2009, Oct Average, Germany, DEU
84.9366, 2009, Nov Average, Germany, DEU
75.8654, 2009, Dec Average, Germany, DEU
38.6137, 2010, Jan Average, Germany, DEU
37.6048, 2010, Feb Average, Germany, DEU
45.4081, 2010, Mar Average, Germany, DEU
20.8681, 2010, Apr Average, Germany, DEU
95.0854, 2010, May Average, Germany, DEU
51.3415, 2010, Jun Average, Germany, DEU
74.3006, 2010, Jul Average, Germany, DEU
134.485, 2010, Aug Average, Germany, DEU
73.9024, 2010, Sep Average, Germany, DEU
34.5829, 2010, Oct Average, Germany, DEU
88.4651, 2010, Nov Average, Germany, DEU
73.4248, 2010, Dec Average, Germany, DEU
50.676, 2011, Jan Average, Germany, DEU
27.3778, 2011, Feb Average, Germany, DEU
22.2659, 2011, Mar Average, Germany, DEU
24.2193, 2011, Apr Average, Germany, DEU
44.4249, 2011, May Average, Germany, DEU
83.6333, 2011, Jun Average, Germany, DEU
106.164, 2011, Jul Average, Germany, DEU
93.516, 2011, Aug Average, Germany, DEU
53.8272, 2011, Sep Average, Germany, DEU
49.4259, 2011, Oct Average, Germany, DEU
2.74783, 2011, Nov Average, Germany, DEU
103.072, 2011, Dec Average, Germany, DEU
86.8936, 2012, Jan Average, Germany, DEU
21.7961, 2012, Feb Average, Germany, DEU
13.9878, 2012, Mar Average, Germany, DEU
40.7131, 2012, Apr Average, Germany, DEU
52.856, 2012, May Average, Germany, DEU
94.2184, 2012, Jun Average, Germany, DEU
96.596, 2012, Jul Average, Germany, DEU
61.8019, 2012, Aug Average, Germany, DEU
46.3457, 2012, Sep Average, Germany, DEU
58.2486, 2012, Oct Average, Germany, DEU
56.2538, 2012, Nov Average, Germany, DEU
80.8723, 2012, Dec Average, Germany, DEU
56.8839, 2013, Jan Average, Germany, DEU
44.5707, 2013, Feb Average, Germany, DEU
33.5826, 2013, Mar Average, Germany, DEU
37.4124, 2013, Apr Average, Germany, DEU
118.658, 2013, May Average, Germany, DEU
85.9459, 2013, Jun Average, Germany, DEU
39.4045, 2013, Jul Average, Germany, DEU
55.7231, 2013, Aug Average, Germany, DEU
76.4513, 2013, Sep Average, Germany, DEU
73.5257, 2013, Oct Average, Germany, DEU
65.1159, 2013, Nov Average, Germany, DEU
40.9872, 2013, Dec Average, Germany, DEU
42.901, 2014, Jan Average, Germany, DEU
28.4367, 2014, Feb Average, Germany, DEU
18.9609, 2014, Mar Average, Germany, DEU
41.6675, 2014, Apr Average, Germany, DEU
87.301, 2014, May Average, Germany, DEU
49.9175, 2014, Jun Average, Germany, DEU
119.32, 2014, Jul Average, Germany, DEU
94.5905, 2014, Aug Average, Germany, DEU
52.023, 2014, Sep Average, Germany, DEU
63.2141, 2014, Oct Average, Germany, DEU
31.9664, 2014, Nov Average, Germany, DEU
68.736, 2014, Dec Average, Germany, DEU
76.6367, 2015, Jan Average, Germany, DEU
20.7283, 2015, Feb Average, Germany, DEU
47.7506, 2015, Mar Average, Germany, DEU
39.5323, 2015, Apr Average, Germany, DEU
51.002, 2015, May Average, Germany, DEU
60.2546, 2015, Jun Average, Germany, DEU
61.3127, 2015, Jul Average, Germany, DEU
71.4426, 2015, Aug Average, Germany, DEU
53.3543, 2015, Sep Average, Germany, DEU
47.1836, 2015, Oct Average, Germany, DEU
84.6274, 2015, Nov Average, Germany, DEU
32.8387, 2015, Dec Average, Germany, DEU
67.6243, 2016, Jan Average, Germany, DEU
65.9268, 2016, Feb Average, Germany, DEU
40.3653, 2016, Mar Average, Germany, DEU
51.6471, 2016, Apr Average, Germany, DEU
66.4924, 2016, May Average, Germany, DEU
104.726, 2016, Jun Average, Germany, DEU
74.1583, 2016, Jul Average, Germany, DEU
50.0827, 2016, Aug Average, Germany, DEU
40.4989, 2016, Sep Average, Germany, DEU
56.4488, 2016, Oct Average, Germany, DEU
50.7105, 2016, Nov Average, Germany, DEU
26.3018, 2016, Dec Average, Germany, DEU
