Temperature - (Celsius), Year, Statistics, Country, ISO3
16.45, 1995, Jul Average, Ireland, IRL
17.2233, 1995, Aug Average, Ireland, IRL
12.7461, 1995, Sep Average, Ireland, IRL
11.954, 1995, Oct Average, Ireland, IRL
7.8302, 1995, Nov Average, Ireland, IRL
3.99757, 1995, Dec Average, Ireland, IRL
5.72451, 1996, Jan Average, Ireland, IRL
3.86292, 1996, Feb Average, Ireland, IRL
5.39088, 1996, Mar Average, Ireland, IRL
8.33557, 1996, Apr Average, Ireland, IRL
8.59231, 1996, May Average, Ireland, IRL
13.0633, 1996, Jun Average, Ireland, IRL
14.7163, 1996, Jul Average, Ireland, IRL
14.5225, 1996, Aug Average, Ireland, IRL
13.3832, 1996, Sep Average, Ireland, IRL
10.8168, 1996, Oct Average, Ireland, IRL
6.03414, 1996, Nov Average, Ireland, IRL
4.16692, 1996, Dec Average, Ireland, IRL
4.10297, 1997, Jan Average, Ireland, IRL
6.27963, 1997, Feb Average, Ireland, IRL
7.83052, 1997, Mar Average, Ireland, IRL
9.43345, 1997, Apr Average, Ireland, IRL
11.0374, 1997, May Average, Ireland, IRL
12.794, 1997, Jun Average, Ireland, IRL
15.1827, 1997, Jul Average, Ireland, IRL
16.1399, 1997, Aug Average, Ireland, IRL
13.2546, 1997, Sep Average, Ireland, IRL
10.7217, 1997, Oct Average, Ireland, IRL
8.23724, 1997, Nov Average, Ireland, IRL
6.35143, 1997, Dec Average, Ireland, IRL
5.46139, 1998, Jan Average, Ireland, IRL
7.75915, 1998, Feb Average, Ireland, IRL
8.04138, 1998, Mar Average, Ireland, IRL
7.26036, 1998, Apr Average, Ireland, IRL
11.5644, 1998, May Average, Ireland, IRL
12.7781, 1998, Jun Average, Ireland, IRL
14.237, 1998, Jul Average, Ireland, IRL
14.7679, 1998, Aug Average, Ireland, IRL
13.651, 1998, Sep Average, Ireland, IRL
10.2644, 1998, Oct Average, Ireland, IRL
7.17768, 1998, Nov Average, Ireland, IRL
6.31649, 1998, Dec Average, Ireland, IRL
5.42275, 1999, Jan Average, Ireland, IRL
6.18007, 1999, Feb Average, Ireland, IRL
6.99751, 1999, Mar Average, Ireland, IRL
9.01121, 1999, Apr Average, Ireland, IRL
11.6829, 1999, May Average, Ireland, IRL
12.284, 1999, Jun Average, Ireland, IRL
15.8391, 1999, Jul Average, Ireland, IRL
14.9926, 1999, Aug Average, Ireland, IRL
13.7046, 1999, Sep Average, Ireland, IRL
10.3916, 1999, Oct Average, Ireland, IRL
7.52668, 1999, Nov Average, Ireland, IRL
5.02191, 1999, Dec Average, Ireland, IRL
5.1924, 2000, Jan Average, Ireland, IRL
6.37357, 2000, Feb Average, Ireland, IRL
7.40834, 2000, Mar Average, Ireland, IRL
7.04412, 2000, Apr Average, Ireland, IRL
11.0925, 2000, May Average, Ireland, IRL
13.3205, 2000, Jun Average, Ireland, IRL
15.1164, 2000, Jul Average, Ireland, IRL
15.1272, 2000, Aug Average, Ireland, IRL
13.2578, 2000, Sep Average, Ireland, IRL
9.32777, 2000, Oct Average, Ireland, IRL
6.21177, 2000, Nov Average, Ireland, IRL
5.28488, 2000, Dec Average, Ireland, IRL
3.92622, 2001, Jan Average, Ireland, IRL
4.72727, 2001, Feb Average, Ireland, IRL
5.46071, 2001, Mar Average, Ireland, IRL
7.52799, 2001, Apr Average, Ireland, IRL
11.616, 2001, May Average, Ireland, IRL
12.801, 2001, Jun Average, Ireland, IRL
14.7668, 2001, Jul Average, Ireland, IRL
14.6733, 2001, Aug Average, Ireland, IRL
13.0165, 2001, Sep Average, Ireland, IRL
11.9287, 2001, Oct Average, Ireland, IRL
8.18751, 2001, Nov Average, Ireland, IRL
5.03227, 2001, Dec Average, Ireland, IRL
6.92506, 2002, Jan Average, Ireland, IRL
6.49325, 2002, Feb Average, Ireland, IRL
7.33225, 2002, Mar Average, Ireland, IRL
8.57355, 2002, Apr Average, Ireland, IRL
10.6911, 2002, May Average, Ireland, IRL
12.5711, 2002, Jun Average, Ireland, IRL
13.9878, 2002, Jul Average, Ireland, IRL
14.7493, 2002, Aug Average, Ireland, IRL
13.2891, 2002, Sep Average, Ireland, IRL
9.45966, 2002, Oct Average, Ireland, IRL
8.10291, 2002, Nov Average, Ireland, IRL
5.80929, 2002, Dec Average, Ireland, IRL
4.96149, 2003, Jan Average, Ireland, IRL
5.33088, 2003, Feb Average, Ireland, IRL
7.45917, 2003, Mar Average, Ireland, IRL
9.52211, 2003, Apr Average, Ireland, IRL
10.5567, 2003, May Average, Ireland, IRL
13.7891, 2003, Jun Average, Ireland, IRL
15.569, 2003, Jul Average, Ireland, IRL
15.9245, 2003, Aug Average, Ireland, IRL
13.321, 2003, Sep Average, Ireland, IRL
9.2359, 2003, Oct Average, Ireland, IRL
7.8595, 2003, Nov Average, Ireland, IRL
5.69227, 2003, Dec Average, Ireland, IRL
5.61909, 2004, Jan Average, Ireland, IRL
5.35369, 2004, Feb Average, Ireland, IRL
6.77395, 2004, Mar Average, Ireland, IRL
8.66126, 2004, Apr Average, Ireland, IRL
10.8515, 2004, May Average, Ireland, IRL
13.8645, 2004, Jun Average, Ireland, IRL
14.145, 2004, Jul Average, Ireland, IRL
15.3554, 2004, Aug Average, Ireland, IRL
13.5233, 2004, Sep Average, Ireland, IRL
8.91484, 2004, Oct Average, Ireland, IRL
8.07292, 2004, Nov Average, Ireland, IRL
6.58661, 2004, Dec Average, Ireland, IRL
6.50409, 2005, Jan Average, Ireland, IRL
5.00175, 2005, Feb Average, Ireland, IRL
7.61894, 2005, Mar Average, Ireland, IRL
8.23745, 2005, Apr Average, Ireland, IRL
10.0593, 2005, May Average, Ireland, IRL
14.0073, 2005, Jun Average, Ireland, IRL
15.2362, 2005, Jul Average, Ireland, IRL
14.9134, 2005, Aug Average, Ireland, IRL
13.5634, 2005, Sep Average, Ireland, IRL
11.2328, 2005, Oct Average, Ireland, IRL
6.73796, 2005, Nov Average, Ireland, IRL
5.96892, 2005, Dec Average, Ireland, IRL
5.39212, 2006, Jan Average, Ireland, IRL
5.19283, 2006, Feb Average, Ireland, IRL
5.57034, 2006, Mar Average, Ireland, IRL
8.00914, 2006, Apr Average, Ireland, IRL
10.5183, 2006, May Average, Ireland, IRL
14.2341, 2006, Jun Average, Ireland, IRL
16.6722, 2006, Jul Average, Ireland, IRL
14.8526, 2006, Aug Average, Ireland, IRL
14.4463, 2006, Sep Average, Ireland, IRL
11.675, 2006, Oct Average, Ireland, IRL
7.43538, 2006, Nov Average, Ireland, IRL
6.47651, 2006, Dec Average, Ireland, IRL
6.48079, 2007, Jan Average, Ireland, IRL
5.88093, 2007, Feb Average, Ireland, IRL
6.78604, 2007, Mar Average, Ireland, IRL
10.3716, 2007, Apr Average, Ireland, IRL
10.9296, 2007, May Average, Ireland, IRL
13.7803, 2007, Jun Average, Ireland, IRL
14.3802, 2007, Jul Average, Ireland, IRL
14.4485, 2007, Aug Average, Ireland, IRL
12.9768, 2007, Sep Average, Ireland, IRL
11.4884, 2007, Oct Average, Ireland, IRL
8.41966, 2007, Nov Average, Ireland, IRL
6.50523, 2007, Dec Average, Ireland, IRL
6.11025, 2008, Jan Average, Ireland, IRL
6.09554, 2008, Feb Average, Ireland, IRL
6.1289, 2008, Mar Average, Ireland, IRL
7.84213, 2008, Apr Average, Ireland, IRL
12.2963, 2008, May Average, Ireland, IRL
13.0186, 2008, Jun Average, Ireland, IRL
14.9767, 2008, Jul Average, Ireland, IRL
14.8285, 2008, Aug Average, Ireland, IRL
12.3021, 2008, Sep Average, Ireland, IRL
9.12333, 2008, Oct Average, Ireland, IRL
6.96422, 2008, Nov Average, Ireland, IRL
4.89918, 2008, Dec Average, Ireland, IRL
4.48826, 2009, Jan Average, Ireland, IRL
5.22779, 2009, Feb Average, Ireland, IRL
7.09263, 2009, Mar Average, Ireland, IRL
8.88527, 2009, Apr Average, Ireland, IRL
10.7092, 2009, May Average, Ireland, IRL
14.0838, 2009, Jun Average, Ireland, IRL
14.9517, 2009, Jul Average, Ireland, IRL
14.6427, 2009, Aug Average, Ireland, IRL
12.7363, 2009, Sep Average, Ireland, IRL
11.2184, 2009, Oct Average, Ireland, IRL
7.27594, 2009, Nov Average, Ireland, IRL
3.52271, 2009, Dec Average, Ireland, IRL
2.44716, 2010, Jan Average, Ireland, IRL
2.86393, 2010, Feb Average, Ireland, IRL
5.57075, 2010, Mar Average, Ireland, IRL
8.50556, 2010, Apr Average, Ireland, IRL
10.2904, 2010, May Average, Ireland, IRL
14.3498, 2010, Jun Average, Ireland, IRL
15.1433, 2010, Jul Average, Ireland, IRL
14.0555, 2010, Aug Average, Ireland, IRL
13.3875, 2010, Sep Average, Ireland, IRL
10.0629, 2010, Oct Average, Ireland, IRL
5.12926, 2010, Nov Average, Ireland, IRL
1.7803, 2010, Dec Average, Ireland, IRL
3.51253, 2011, Jan Average, Ireland, IRL
6.45207, 2011, Feb Average, Ireland, IRL
6.41389, 2011, Mar Average, Ireland, IRL
10.3585, 2011, Apr Average, Ireland, IRL
11.0283, 2011, May Average, Ireland, IRL
11.9251, 2011, Jun Average, Ireland, IRL
13.9431, 2011, Jul Average, Ireland, IRL
13.4881, 2011, Aug Average, Ireland, IRL
13.1558, 2011, Sep Average, Ireland, IRL
11.0698, 2011, Oct Average, Ireland, IRL
9.17745, 2011, Nov Average, Ireland, IRL
5.85065, 2011, Dec Average, Ireland, IRL
6.41342, 2012, Jan Average, Ireland, IRL
6.84726, 2012, Feb Average, Ireland, IRL
8.47679, 2012, Mar Average, Ireland, IRL
7.07172, 2012, Apr Average, Ireland, IRL
10.5548, 2012, May Average, Ireland, IRL
12.4629, 2012, Jun Average, Ireland, IRL
13.7922, 2012, Jul Average, Ireland, IRL
15.2338, 2012, Aug Average, Ireland, IRL
12.1644, 2012, Sep Average, Ireland, IRL
8.75672, 2012, Oct Average, Ireland, IRL
5.99675, 2012, Nov Average, Ireland, IRL
5.51352, 2012, Dec Average, Ireland, IRL
5.12768, 2013, Jan Average, Ireland, IRL
4.6858, 2013, Feb Average, Ireland, IRL
4.2011, 2013, Mar Average, Ireland, IRL
9.39989, 2013, Apr Average, Ireland, IRL
9.66752, 2013, May Average, Ireland, IRL
13.1064, 2013, Jun Average, Ireland, IRL
16.7878, 2013, Jul Average, Ireland, IRL
15.2201, 2013, Aug Average, Ireland, IRL
13.2208, 2013, Sep Average, Ireland, IRL
10.9903, 2013, Oct Average, Ireland, IRL
6.9072, 2013, Nov Average, Ireland, IRL
6.67047, 2013, Dec Average, Ireland, IRL
5.28465, 2014, Jan Average, Ireland, IRL
5.28644, 2014, Feb Average, Ireland, IRL
6.80391, 2014, Mar Average, Ireland, IRL
9.59549, 2014, Apr Average, Ireland, IRL
11.062, 2014, May Average, Ireland, IRL
14.0371, 2014, Jun Average, Ireland, IRL
16.1029, 2014, Jul Average, Ireland, IRL
13.9883, 2014, Aug Average, Ireland, IRL
13.9382, 2014, Sep Average, Ireland, IRL
10.8565, 2014, Oct Average, Ireland, IRL
7.57424, 2014, Nov Average, Ireland, IRL
5.70139, 2014, Dec Average, Ireland, IRL
5.2083, 2015, Jan Average, Ireland, IRL
4.57614, 2015, Feb Average, Ireland, IRL
6.06684, 2015, Mar Average, Ireland, IRL
8.20878, 2015, Apr Average, Ireland, IRL
9.77426, 2015, May Average, Ireland, IRL
12.5479, 2015, Jun Average, Ireland, IRL
14.3861, 2015, Jul Average, Ireland, IRL
14.5202, 2015, Aug Average, Ireland, IRL
12.1483, 2015, Sep Average, Ireland, IRL
10.3369, 2015, Oct Average, Ireland, IRL
8.54375, 2015, Nov Average, Ireland, IRL
7.85946, 2015, Dec Average, Ireland, IRL
5.7706, 2016, Jan Average, Ireland, IRL
4.8137, 2016, Feb Average, Ireland, IRL
6.2681, 2016, Mar Average, Ireland, IRL
7.03313, 2016, Apr Average, Ireland, IRL
11.4049, 2016, May Average, Ireland, IRL
14.2497, 2016, Jun Average, Ireland, IRL
14.9929, 2016, Jul Average, Ireland, IRL
15.1604, 2016, Aug Average, Ireland, IRL
13.7029, 2016, Sep Average, Ireland, IRL
10.3238, 2016, Oct Average, Ireland, IRL
5.63055, 2016, Nov Average, Ireland, IRL
6.43932, 2016, Dec Average, Ireland, IRL
